"Pathsize";"History Count";"Error Rate"
2;2;0.3323467294459626
2;3;0.2932068158936587
2;4;0.2702550282733927
2;5;0.34199071936292136
2;6;0.42452480261614045
5;2;0.28786628615549986
5;3;0.2241811313899003
5;4;0.14592779876308637
5;5;0.11892992589116068
5;6;0.15136673656162236
10;2;0.2810572053624823
10;3;0.22002906822706525
10;4;0.13255565732799407
10;5;0.08617139656177376
10;6;0.0963528458854076
20;2;0.2796794925172025
20;3;0.21830314224506636
20;4;0.13136340582727116
20;5;0.08148944384306185
20;6;0.0855090346169277
50;2;0.27942968744086055
50;3;0.21808361657191735
50;4;0.1310795364223371
50;5;0.08147051921606625
50;6;0.08491858625466492
100;2;0.2794069778884658
100;3;0.21814039045290418
100;4;0.1309659886603635
100;5;0.08146673429066713
100;6;0.08491858625466492
30;2;0.2794940311726456
30;3;0.21809875627351386
30;4;0.13119686910970985
30;5;0.08141753026047857
30;6;0.08494508073245877
60;2;0.2794221175900623
60;3;0.21813660552750505
60;4;0.13100762283975384
60;5;0.08146294936526802
60;6;0.08491858625466492
70;2;0.2794221175900623
70;3;0.2181252507513077
70;4;0.1309622037349644
70;5;0.08146673429066713
70;6;0.08491858625466492
